gene,importance
NR4A1,0.021522366324631857
PDK4,0.020461606311837792
MT-ND4L,0.01711701723758298
SPP1,0.012166476821276202
WFDC2,0.01188918507143081
FXYD2,0.011543595361827842
ZFP36,0.011230968281358975
SNHG29,0.010067917415020488
EGR1,0.009700154280389
ATPIF1,0.009189837681923366
ADIRF,0.008981450357104457
ATF3,0.00855806434183773
EEF1G,0.008420609856610787
MICOS10,0.008148857289001846
GPX1,0.008132779571452529
RNASEK,0.008114329851543435
NME2,0.008065481572574461
MT2A,0.008038379799572786
TMSB4X,0.007872982966950128
ATP6V0C,0.007714185950962088
ATP5G3,0.007709946084983364
SGK1,0.007426664841376918
ACTB,0.0070997389396219605
CLU,0.006610962180328525
CD74,0.006589575443454287
ATP1B1,0.0064279859113715076
PIGR,0.006250367974241225
FTL,0.006203422358769768
DEFB1,0.0059874114275842855
IER3,0.0057559746845783286
LTF,0.005613155877273636
ATP6V1B1,0.005543298257156032
SEPP1,0.005289327495097414
HSPA1A,0.005146451653527992
SEPTIN7,0.004803913225775261
LCN2,0.004750747509489349
HLA-DRB5,0.004497692622429059
DCXR,0.004455107866555275
ITM2C,0.0044044573209838
MT1X,0.004281704585826713
HLA-DRB1,0.00417405824774877
SOD2,0.004168509506544328
CRIP1,0.004151754264796397
HLA-DRA,0.0041294270940006065
HSD11B2,0.004036909134521858
MT1G,0.004000527799222223
MT1M,0.003988690169288935
TIMP3,0.003975031841609535
MMP7,0.003971660595582456
CXCR4,0.0038509140417424793
DDIT4,0.0037309395271669264
ITGB6,0.003723684861461698
AKR1C1,0.0036741641901199677
APOE,0.003614101003530076
IGFBP5,0.0035731466913901367
RHCG,0.003459715806289835
TIMP1,0.003418616233275971
FOSB,0.0032933278766988806
S100A1,0.0032610409534378684
TMEM213,0.003172565672622197
KRT19,0.003116066725385419
C19orf77,0.00301045019112126
GSTA2,0.0029951500218052783
ALDH6A1,0.0029606081006593493
C19orf10,0.002946051764964509
PCK1,0.0029456196695872346
RGCC,0.0029017513905811804
SRGN,0.0028211025306963547
APOLD1,0.0028113579322143712
GPX3,0.0027808429878543183
GSTA1,0.0027491152951686095
MT1F,0.002729789010506796
MT1H,0.0026911793431994625
GATM,0.0026332569576623657
HES4,0.0026310086864389714
MGP,0.002606884203450567
FXYD4,0.0025992888098770204
SLPI,0.0025691454111347765
PLAAT4,0.0025461410691865033
MIOX,0.0025434311953868214
S100A2,0.0025297729891504066
ATP6V0D2,0.002520152247782299
SOD3,0.0025100129810175223
KNG1,0.002472683414099007
ID3,0.002471525775938054
HLA-DPA1,0.002445483286552916
CALB1,0.002411786376041283
ID1,0.002410405721624435
UMOD,0.0024001688398961204
KRT7,0.0023985906742921633
GRASP,0.0023894882073613533
CXCL14,0.002389315876394482
IGFBP2,0.002389246389874686
ALDOB,0.0023637742036645196
AQP3,0.0023609362944546665
SLC12A1,0.002347287735294971
GDF15,0.002323151996581635
UGT2B7,0.0022851646578436577
HLA-DQA2,0.0022578027332598918
ETS2,0.00224540042777231
